;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Bairro;Rota;Setor;Cep Destinatário;
ABOLICAO       ;2780;RIO DE JANEIRO 2780;20751050;
SANTISSIMO     ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23094091;
VILA KOSMOS    ;2781;RIO DE JANEIRO;21220202;
JACARE         ;192;CABO FRIO;28922565;
NOVA CIDADE    ;239;NILOPOLIS;26530180;
CAJU           ;2799;RIO DE JANEIRO CAJU;20931002;
ENGENHO DA RAIN;2780;RIO DE JANEIRO 2780;20765171;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21820390;
JARDIM JOSE BON;2703;S.JOAO DE MERITI P.A. REG A;25565161;
EDEN           ;2703;S.JOAO DE MERITI P.A. REG B;25535040;
NOVA CIDADE    ;239;NILOPOLIS;26530180;
BONSUCESSO     ;2781;RIO DE JANEIRO;21060520;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23080040;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23092093;
NOVA CIDADE    ;239;NILOPOLIS;26535190;
QUARTEIRAO BRAS;200;PETROPOLIS;25680250;
PARQUE DAS ACAC;192;ARARUAMA;28981025;
VILA CENTRAL   ;240;JAPERI;26445000;
ROCHA          ;195;SAO GONCALO;24421320;
FLAMENGO       ;241;RIO DE JANEIRO REG.E;22250020;
NOVA BRASILIA  ;238;NOVA IGUACU;26053026;
SANTA TERESINHA;199;TRES RIOS;25810420;
TRIBOBO        ;195;SAO GONCALO;24750071;
SANTO ANTONIO D;2702;BELFORD ROXO;26130435;
JARDIM SAO MIGU;237;QUEIMADOS;26313030;
JARDIM GRAMACHO;2701;DUQUE DE CAXIAS;25056120;
JARDIM ANHANGA ;2701;DUQUE DE CAXIAS REG A;25264290;
AGOSTINHO PORTO;2703;S.JOAO DE MERITI P.A. REG B;25545120;
ROCINHA        ;242;RIO DE JANEIRO REG.C;22451470;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23035433;
RECREIO DOS BAN;246;RIO DE JANEIRO REG.P (RECREIO/VARGEM);22790530;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23092641;
PORTO DO CARRO ;192;CABO FRIO;28922270;
OPERARIO       ;192;RIO DAS OSTRAS;28893349;
JARDIM ALCANTAR;195;SAO GONCALO;24710340;
BARROCO        ;194;MARICA;24936600;
CPO ALEGRE     ;237;QUEIMADOS;26310000;
JARDIM GUANABAR;2782;RIO DE JANEIRO REG.D;21940480;
ENGENHO DA RAIN;2780;RIO DE JANEIRO 2780;20765171;
VILA BOM JARDIM;240;JAPERI;26465030;
VILA EMIL      ;239;MESQUITA;26551480;
AUSTIN         ;238;NOVA IGUACU;26086085;
PARQUE DAS FLOR;9702;BELFORD ROXO REGIAO 2;26173160;
SAO VICENTE    ;2702;BELFORD ROXO;26178380;
VILAR DOS TELES;2703;S.JOAO DE MERITI P.A. REG A;25555820;
VILA GUANABARA ;2701;DUQUE DE CAXIAS;25086020;
PORTO NOVO     ;195;SAO GONCALO;24435720;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23030460;
PAULINE        ;9702;BELFORD ROXO REGIAO 2;26167350;
TAQUARA        ;243;RIO DE JANEIRO REG.P;22770330;
LEBLON         ;242;RIO DE JANEIRO REG.C;22450140;
ALTO DA BOA VIS;183;RIO DE JANEIRO REG. TIJUCA;20531078;
CENTRO         ;183;RIO DE JANEIRO REG. TIJUCA;20071902;
